         16610805 function calls (16597347 primitive calls) in 38.085 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001    0.002    0.001 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1668    0.002    0.000    0.008    0.000 artist.py:74(_stale_axes_callback)
      525    0.002    0.000    0.010    0.000 transforms.py:781(__init__)
      518    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      168    0.002    0.000    0.005    0.000 transforms.py:694(translated)
      308    0.002    0.000    0.005    0.000 path.py:172(_fast_from_codes_and_verts)
     1193    0.002    0.000    0.008    0.000 {built-in method builtins.any}
     9541    0.002    0.000    0.002    0.000 artist.py:236(axes)
    321/4    0.002    0.000    0.605    0.151 <frozen importlib._bootstrap>:958(_find_and_load)
     2142    0.002    0.000    0.008    0.000 colors.py:107(_is_nth_color)
     3197    0.002    0.000    0.002    0.000 sre_parse.py:232(__next)
     1614    0.002    0.000    0.003    0.000 inspect.py:2399(__init__)
  784/624    0.002    0.000    0.060    0.000 spines.py:404(get_spine_transform)
    516/2    0.002    0.000    0.251    0.126 artist.py:61(draw_wrapper)
     1309    0.002    0.000    0.006    0.000 artist.py:634(set_figure)
     5120    0.002    0.000    0.010    0.000 numeric.py:534(asanyarray)
      562    0.002    0.000    0.015    0.000 inspect.py:2146(_signature_from_callable)
      672    0.002    0.000    0.008    0.000 artist.py:856(_update_property)
       18    0.002    0.000    0.012    0.001 traceback.py:313(extract)
        4    0.002    0.001    0.002    0.001 {method 'close' of '_io.BufferedRandom' objects}
     2218    0.002    0.000    0.002    0.000 {method 'index' of 'list' objects}
      184    0.002    0.000    0.048    0.000 text.py:932(get_window_extent)
       67    0.002    0.000    0.010    0.000 transforms.py:723(union)
      394    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      304    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      220    0.002    0.000    0.004    0.000 artist.py:953(update_from)
